Légumes,Ail,"Consommé depuis des millénaires, l’ail est un condiment très apprécié qui fait depuis longtemps partie de la tradition culinaire française. Sa culture, très simple, ne demande pas d’attention particulière et les espèces produites en France proposent un large éventail de goûts. En cuisine, ce condiment relève et sublime les saveurs, tout en participant à votre bien-être grâce à ses atouts nutritionnels.",10,30,80,"Betterave, céleri, chou, laitue, pomme de terre, tomate",Plantez très tôt au printemps.,ail.jpg
Légumes,Aubergine,"Une aubergine pèse 225 g en moyenne. Sa couleur, sa taille et sa forme varient selon les variétés,. La plus fréquente sur les étals est l’aubergine violette, à la chair blanche et moelleuse.",40,60,70,"Haricot, piment, pois, pomme de terre","Laissez 4 à 5 fruits par plant.
Récoltez lorsque la pelure luit.",aubergine.jpg
Légumes,Bette à carde,,20,50,60,"Chou, haricot, oignon",Récolte continue sur les plants.,
Légumes,Betterave,"La betterave est cultivée en France, aussi bien pour sa variété potagère que pour la sucrière. Son goût très doux et sucré, délicat, est apprécié en crudités ou cuisiné et accommodé. Pensez à l’intégrer à vos menus hebdomadaires, dès qu’elle est présente sur les étals, pour bénéficier de toutes les vitamines et les nutriments qu’elle contient.",5,30,60,"Ail, chou-rave, chou, haricot, laitue, maïs, oignon, poireau, radis",,betterave.jpg
Légumes,Brocoli,"Connu et cultivé en Europe depuis quatre siècles, le brocoli se savoure toute l’année. Ce grand parent du chou-fleur est présent depuis quelques dizaines d’années sur les étals français, et a très vite su se faire une place dans les assiettes. Son goût très doux et son croquant font des merveilles dans tous types de recettes salées. Gorgé de vitamines, ce légume vert participe en plus à votre bien-être !",40,75,40,"Céleri, oignon, pomme de terre","Après la récolte, conservez les plants pour une récolte secondaire.",brocoli.jpg
Légumes,Carotte,"Toujours disponible et très bon marché, la carotte est aujourd’hui le deuxième légume le plus consommé en France, juste derrière la tomate. Elle renferme de très nombreux minéraux et vitamines. D’après l’adage, elle rendrait même aimable…",5,45,60,"Chou, haricot, laitue, oignon, piment, poireau, pois, radis, salsifis, tomate",Semez aux 15 jours du début mai au 15 juin.,carotte.jpg
Légumes,Céleri,"Plante médicinale et aphrodisiaque avant d’entrer en cuisine, le céleri-branche nous régale aujourd’hui de la fin du printemps jusqu'au milieu de l'hiver. Sa saveur marquée et sa texture croquante le rendent tout aussi délicieux cru que cuit. Par petites touches ou en ingrédient vedette, le céleri-branche se prépare et s’accommode avec facilité, tout en vous permettant de faire le plein de vitalité. Alors, prêt ? Croquez !",20,50,100,"Ail, brocoli, chou, concombre, haricot, laitue, oignon, poireau, tomate",Renchaussez le pied pour blanchir deux semaines avant la récolte.,celeri.jpg
Légumes,Céleri-rave,"Connu depuis l’Antiquité, cultivé dès le 16e siècle, le céleri-rave a fait progressivement son entrée dans les cuisines. Ce légume rustique s’est développé et a imposé sa présence sur les étals grâce à sa chair savoureuse, croquante quand elle est crue, fondante après cuisson. Ce beau céleri tout en rondeur est très concentré en vitamines et minéraux essentiels, tout en étant très peu énergétique. Invitez-le régulièrement dans vos assiettes pour savourer tous les bienfaits de sa chair délicate.",20,45,110,"Haricot, laitue, poireau",,celeri-rave.jpg
Légumes,Chou chinois,,30,50,100,"Ail, bette à carde, betterave, carotte, céleri, concombre, épinard, haricot, laitue, oignon, pomme de terre",Semez à la fin de juin.,
Légumes,Chou de bruxelles,"Un temps mis à l’écart, le chou de Bruxelles revient dans nos cuisines. Notamment grâce à des saveurs moins amères et plus sucrées, davantage adaptées aux goûts actuels. Les jeunes chefs l’ont bien compris : le chou de Bruxelles n’est plus exclusivement le symbole d’une nourriture rustique traditionnelle mais peut jouer la carte de la modernité en s’accomodant de mille façons.",40,80,100,"Ail, bette à carde, betterave, carotte, céleri, concombre, épinard, haricot, laitue, oignon, pomme de terre","Enlevez graduellement les feuilles pour favoriser la croissance des choux. Fin août, pincez l'extrémité du plant.",chou-de-bruxelles.jpg
